Date,AAPL,BTC-USD,ETH-USD,MSFT
2023-08-06,,29041.85546875,1827.4620361328125,
2023-08-07,176.3773651123047,29180.578125,1826.9388427734375,322.4797058105469
2023-08-08,177.31419372558594,29765.4921875,1855.807373046875,318.5135192871094
2023-08-09,175.72645568847656,29561.494140625,1854.297607421875,314.7818298339844
2023-08-10,175.50950622558594,29429.591796875,1850.75341796875,315.4656066894531
2023-08-11,175.5687255859375,29397.71484375,1847.1243896484375,313.59002685546875
2023-08-12,,29415.96484375,1848.889892578125,
2023-08-13,,29282.9140625,1839.2801513671875,
2023-08-14,177.21792602539062,29408.443359375,1844.185791015625,316.54998779296875
2023-08-15,175.2329864501953,29170.34765625,1826.9327392578125,314.4203796386719
2023-08-16,174.364013671875,28701.779296875,1805.6590576171875,313.6567687988281
2023-08-17,171.82611083984375,26664.55078125,1684.9334716796875,310.21087646484375
2023-08-18,172.30999755859375,26049.556640625,1660.945068359375,309.8193054199219
2023-08-19,,26096.205078125,1669.471923828125,
2023-08-20,,26189.583984375,1684.85205078125,
2023-08-21,173.6431121826172,26124.140625,1667.26904296875,315.1056823730469
2023-08-22,175.0157470703125,26031.65625,1633.892578125,315.6734313964844
2023-08-23,178.85716247558594,26431.640625,1679.2744140625,320.1178894042969
2023-08-24,174.17637634277344,26162.373046875,1659.944580078125,313.2358093261719
2023-08-25,176.3784942626953,26047.66796875,1652.93505859375,316.1824951171875
2023-08-26,,26008.462890625,1646.3067626953125,
2023-08-27,,26089.693359375,1657.5130615234375,
2023-08-28,177.93878173828125,26106.150390625,1652.4573974609375,316.8873596191406
2023-08-29,181.8196563720703,27727.392578125,1729.7257080078125,321.4981994628906
2023-08-30,185.30557250976562,27297.265625,1705.1121826171875,321.8702392578125
2023-08-31,185.52281188964844,25931.47265625,1645.63916015625,320.8619079589844
2023-09-01,187.0929718017578,25800.724609375,1628.4912109375,321.74298095703125
2023-09-02,,25868.798828125,1637.025390625,
2023-09-03,,25969.56640625,1636.11767578125,
2023-09-04,,25812.416015625,1629.6552734375,
2023-09-05,187.32992553710938,25779.982421875,1633.62939453125,326.530029296875
2023-09-06,180.62477111816406,25753.236328125,1632.2523193359375,325.8741760253906
2023-09-07,175.34161376953125,26240.1953125,1647.5982666015625,322.9666442871094
2023-09-08,175.953857421875,25905.654296875,1636.1378173828125,327.23486328125
2023-09-09,,25895.677734375,1635.162353515625,
2023-09-10,,25832.2265625,1616.828857421875,
2023-09-11,177.119140625,25162.654296875,1551.6376953125,330.8276062011719
2023-09-12,174.09739685058594,25833.34375,1592.429443359375,324.7874755859375
2023-09-13,172.033447265625,26228.32421875,1607.988525390625,328.9872131347656
2023-09-14,173.5443572998047,26539.673828125,1626.974365234375,331.5716857910156
2023-09-15,172.8234405517578,26608.693359375,1641.640380859375,323.2701416015625
2023-09-16,,26568.28125,1635.2216796875,
2023-09-17,,26534.1875,1622.896728515625,
2023-09-18,175.74649047851562,26754.28125,1637.3470458984375,322.1345520019531
2023-09-19,176.83274841308594,27211.1171875,1643.544677734375,321.7331848144531
2023-09-20,173.29750061035156,27132.0078125,1622.890625,314.0190124511719
2023-09-21,171.75694274902344,26567.6328125,1584.3070068359375,312.8051452636719
2023-09-22,172.60623168945312,26579.568359375,1593.268310546875,310.3381652832031
2023-09-23,,26579.390625,1593.8577880859375,
